Locus	start	stop	Mus_musculus	Rattus_norvegicus	Homo_sapiens
c1.loc70	133712986	137431812		x	x
c11.loc22	33893114	50039379	x	x	x
c11.loc46	72421844	94578095	x	x	x
c11.loc52	72421844	94578095	x	x	x
c12.loc39	36746991	30094589	x		
c14.loc10	16694110	64433496		x	
c14.loc10	16694110	64433496		x	
c14.loc11	16694110	64433496		x	
c14.loc11	16694110	64433496		x	
c14.loc12	16694110	64433496		x	
c14.loc12	16694110	64433496		x	
c14.loc21	16694110	64433496		x	
c14.loc22	16694110	64433496		x	
c14.loc23	16694110	64433496		x	
c14.loc24	16694110	64433496		x	
c14.loc24	16694110	64433496		x	
c14.loc25	16694110	64433496		x	
c14.loc26	16694110	64433496		x	
c14.loc9	16694110	64433496		x	
c14.loc9	16694110	64433496		x	
c15.loc12	26308651	33887344	x	x	x
c15.loc13	26308651	33887344	x	x	x
c17.loc24	32737168	78527724	x	x	x
c17.loc25	32737168	78527724	x	x	x
c17.loc30	32737168	78527724	x	x	x
c19.loc4	6517621	10347576	x	x	x
c4.loc81	127869713	130138068		x	x
c4.loc82	127869713	130138068		x	x
c5.loc32	43956202	95297182		x	x
c7.loc13	48808281	51072446	x		
c7.loc15	48808281	51072446	x		
c7.loc175	128988216	135245122	x	x	
c7.loc184	135529727	131561150	x	x	
c7.loc188	129938127	125880567	x	x	
c7.loc189	129938127	125880567	x	x	
c7.loc190	129938127	125880567	x	x	
c7.loc2	32154363	39443957	x		x
c7.loc219	144401550	147401494	x	x	x
c7.loc220	144401550	147401494	x	x	x
c7.loc26	55034737	57864944	x		
c7.loc3	32154363	39443957	x		x
c7.loc4	32154363	39443957	x		x
c7.loc68	67267302	69317117	x	x	
c7.loc68	67267302	69317117	x	x	
c7.loc78	70854477	72391838	x	x	
c7.loc79	70854477	72391838	x	x	
c7.loc80	70854477	72391838	x	x	
c7.loc80	70854477	72391838	x	x	
c8.loc25	45348308	70129913	x	x	
c8.loc26	45348308	70129913	x	x	
c8.loc27	45348308	70129913	x	x	
c9.loc57	115279031	119461059			x
D10Mit213	-1	20999407	x	x	x
D11Mit231	33893114	50039379	x	x	x
D11Mit36	72421844	94578095	x	x	x
D12Mit4	78990304	76768184	x		x
D13Mit14	-1	25133151	x	x	x
D17Mit185	32737168	78527724	x	x	x
D5Mit387	29461306	42844450			x
D7Mit145	58092615	58914878	x		
D7Mit145	58092615	58914878	x		
D7Mit145	58092615	58914878	x		
D7Mit145	58092615	58914878	x		
