Locus	chr	group	start	stop	Trait	Status	Syngroup	chr	start	end	Trait	homotype
c1.loc70	6	1	69	71	ENSMUSG00000074183	synhomsame	14	13	7.89999962	31.89999962	ENSRNOG00000029861	ortholog_many2many
c11.loc22	21	11	21	27	ENSMUSG00000038541	synhomsame	4	10	7.80000019	16	ENSRNOG00000027042	ortholog_one2one
c11.loc46	26	11	44	60	ENSMUSG00000035385	synhomsame	7	10	33.79999924	65	ENSRNOG00000007159	ortholog_one2one
c11.loc52	26	11	44	60	ENSMUSG00000055170	synhomsame	7	10	33.79999924	65	ENSRNOG00000007468	ortholog_one2one
c12.loc39	37	12	38	40	ENSMUSG00000055994	synhomsame	52	6	25.10000038	92	ENSRNOG00000014124	ortholog_one2one
c14.loc10	50	14	3	39	ENSMUSG00000024513	synhomsame	24	16	-1	85	ENSRNOG00000011853	ortholog_one2one
c14.loc10	50	14	3	39	ENSMUSG00000024680	synhomsame	24	16	-1	85	ENSRNOG00000020993	ortholog_one2one
c14.loc11	50	14	3	39	ENSMUSG00000024513	synhomsame	24	16	-1	85	ENSRNOG00000011853	ortholog_one2one
c14.loc11	50	14	3	39	ENSMUSG00000024680	synhomsame	24	16	-1	85	ENSRNOG00000020993	ortholog_one2one
c14.loc12	50	14	3	39	ENSMUSG00000024513	synhomsame	24	16	-1	85	ENSRNOG00000011853	ortholog_one2one
c14.loc12	50	14	3	39	ENSMUSG00000066979	synhomsame	24	16	-1	85	ENSRNOG00000020643	ortholog_one2one
c14.loc21	50	14	3	39	ENSMUSG00000024513	synhomsame	24	16	-1	85	ENSRNOG00000011853	ortholog_one2one
c14.loc22	50	14	3	39	ENSMUSG00000024513	synhomsame	24	16	-1	85	ENSRNOG00000011853	ortholog_one2one
c14.loc23	50	14	3	39	ENSMUSG00000024513	synhomsame	24	16	-1	85	ENSRNOG00000011853	ortholog_one2one
c14.loc24	50	14	3	39	ENSMUSG00000024513	synhomsame	24	16	-1	85	ENSRNOG00000011853	ortholog_one2one
c14.loc24	50	14	3	39	ENSMUSG00000024680	synhomsame	24	16	-1	85	ENSRNOG00000020993	ortholog_one2one
c14.loc25	50	14	3	39	ENSMUSG00000024680	synhomsame	24	16	-1	85	ENSRNOG00000020993	ortholog_one2one
c14.loc26	50	14	3	39	ENSMUSG00000024680	synhomsame	24	16	-1	85	ENSRNOG00000020993	ortholog_one2one
c14.loc9	50	14	3	39	ENSMUSG00000024513	synhomsame	24	16	-1	85	ENSRNOG00000011853	ortholog_one2one
c14.loc9	50	14	3	39	ENSMUSG00000024680	synhomsame	24	16	-1	85	ENSRNOG00000020993	ortholog_one2one
c15.loc12	57	15	11	16	ENSMUSG00000055737	synhomsame	36	2	53.79999924	61.59999847	ENSRNOG00000015654	ortholog_one2one
c15.loc13	57	15	11	16	ENSMUSG00000055737	synhomsame	36	2	53.79999924	61.59999847	ENSRNOG00000015654	ortholog_one2one
c17.loc24	77	17	14.00709534	53	ENSMUSG00000039358	synhomsame	51	6	-7.69999981	24.29999924	ENSRNOG00000005338	ortholog_one2one
c17.loc25	77	17	14.00709534	53	ENSMUSG00000044201	synhomsame	51	6	-7.69999981	24.29999924	ENSRNOG00000024008	ortholog_one2one
c17.loc30	77	17	14.00709534	53	ENSMUSG00000053004	synhomsame	51	6	-7.69999981	24.29999924	ENSRNOG00000007420	ortholog_one2one
c19.loc4	89	19	3	7	ENSMUSG00000029255	synhomsame	0	1	-0.59999999	208	ENSRNOG00000002011	ortholog_one2one
c4.loc81	125	4	80	83	ENSMUSG00000037393	synhomsame	50	5	112	140	ENSRNOG00000014081	ortholog_one2one
c4.loc82	125	4	80	83	ENSMUSG00000037393	synhomsame	50	5	112	140	ENSRNOG00000014081	ortholog_one2one
c5.loc32	132	5	24.96774483	40	ENSMUSG00000030724	synhomsame	18	14	15.20000076	38.20000076	ENSRNOG00000018311	ortholog_one2one
c7.loc13	145	7	12	16	ENSMUSG00000025905	synhomsame	0	1	-0.59999999	208	ENSRNOG00000007647	ortholog_one2one
c7.loc15	145	7	12	16	ENSMUSG00000026770	synhomsame	0	1	-0.59999999	208	ENSRNOG00000031623	ortholog_one2one
c7.loc175	162	7	173	177	ENSMUSG00000054612	synhomsame	0	1	-0.59999999	208	ENSRNOG00000016038	ortholog_one2one
c7.loc184	163	7	177.1819458	185	ENSMUSG00000029255	synhomsame	0	1	-0.59999999	208	ENSRNOG00000002011	ortholog_one2one
c7.loc188	164	7	187	192	ENSMUSG00000055978	synhomsame	0	1	-0.59999999	208	ENSRNOG00000021011	ortholog_one2one
c7.loc189	164	7	187	192	ENSMUSG00000055978	synhomsame	0	1	-0.59999999	208	ENSRNOG00000021011	ortholog_one2one
c7.loc190	164	7	187	192	ENSMUSG00000055978	synhomsame	0	1	-0.59999999	208	ENSRNOG00000021011	ortholog_one2one
c7.loc2	143	7	1	5	ENSMUSG00000050511	synhomsame	0	1	-0.59999999	208	ENSRNOG00000010531	ortholog_one2one
c7.loc219	167	7	218	221	ENSMUSG00000054612	synhomsame	0	1	-0.59999999	208	ENSRNOG00000016038	ortholog_one2one
c7.loc220	167	7	218	221	ENSMUSG00000054612	synhomsame	0	1	-0.59999999	208	ENSRNOG00000016038	ortholog_one2one
c7.loc26	147	7	23	28	ENSMUSG00000038194	synhomsame	0	1	-0.59999999	208	ENSRNOG00000020787	ortholog_one2one
c7.loc3	143	7	1	5	ENSMUSG00000050511	synhomsame	0	1	-0.59999999	208	ENSRNOG00000010531	ortholog_one2one
c7.loc4	143	7	1	5	ENSMUSG00000050511	synhomsame	0	1	-0.59999999	208	ENSRNOG00000010531	ortholog_one2one
c7.loc68	151	7	63	71	ENSMUSG00000000706	synhomsame	0	1	-0.59999999	208	ENSRNOG00000017514	ortholog_one2one
c7.loc68	151	7	63	71	ENSMUSG00000033307	synhomsame	0	1	-0.59999999	208	ENSRNOG00000006589	ortholog_one2many
c7.loc78	152	7	77	83	ENSMUSG00000032259	synhomsame	0	1	-0.59999999	208	ENSRNOG00000008428	ortholog_one2one
c7.loc79	152	7	77	83	ENSMUSG00000000706	synhomsame	0	1	-0.59999999	208	ENSRNOG00000017514	ortholog_one2one
c7.loc80	152	7	77	83	ENSMUSG00000000706	synhomsame	0	1	-0.59999999	208	ENSRNOG00000017514	ortholog_one2one
c7.loc80	152	7	77	83	ENSMUSG00000020838	synhomsame	0	1	-0.59999999	208	ENSRNOG00000003476	ortholog_one2one
c8.loc25	172	8	23	33	ENSMUSG00000042632	synhomsame	24	16	-1	85	ENSRNOG00000012295	ortholog_one2one
c8.loc26	172	8	23	33	ENSMUSG00000042632	synhomsame	24	16	-1	85	ENSRNOG00000012295	ortholog_one2one
c8.loc27	172	8	23	33	ENSMUSG00000015846	synhomsame	24	16	-1	85	ENSRNOG00000009446	ortholog_one2one
c9.loc57	182	9	51.41851807	65	ENSMUSG00000022905	synhomsame	65	8	88	152	ENSRNOG00000000399	ortholog_one2one
D10Mit213	12	10	-1	3	ENSMUSG00000026237	synhomsame	0	1	-0.59999999	208	ENSRNOG00000018521	ortholog_one2one
D11Mit231	21	11	21	27	ENSMUSG00000038541	synhomsame	4	10	7.80000019	16	ENSRNOG00000027042	ortholog_one2one
D11Mit36	26	11	44	60	ENSMUSG00000055170	synhomsame	7	10	33.79999924	65	ENSRNOG00000007468	ortholog_one2one
D12Mit4	35	12	23.96789742	25.96789742	ENSMUSG00000027368	synhomsame	52	6	25.10000038	92	ENSRNOG00000013862	ortholog_one2one
D13Mit14	39	13	-1	1	ENSMUSG00000028179	synhomsame	25	17	7.89999962	86	ENSRNOG00000010658	ortholog_one2one
D17Mit185	77	17	14.00709534	53	ENSMUSG00000053004	synhomsame	51	6	-7.69999981	24.29999924	ENSRNOG00000007420	ortholog_one2one
D5Mit387	130	5	16	18.06703949	ENSMUSG00000025479	synhomsame	19	14	39.20000076	91	ENSRNOG00000012458	ortholog_one2one
D7Mit145	148	7	28.40221596	30.40221596	ENSMUSG00000003476	synhomsame	0	1	-0.59999999	208	ENSRNOG00000011145	ortholog_one2one
D7Mit145	148	7	28.40221596	30.40221596	ENSMUSG00000007480	synhomsame	0	1	-0.59999999	208	ENSRNOG00000016685	ortholog_one2one
D7Mit145	148	7	28.40221596	30.40221596	ENSMUSG00000032315	synhomsame	0	1	-0.59999999	208	ENSRNOG00000019500	ortholog_one2one
D7Mit145	148	7	28.40221596	30.40221596	ENSMUSG00000046159	synhomsame	0	1	-0.59999999	208	ENSRNOG00000014639	ortholog_one2one
