start_bps		stop_bps		Chr		species		syntenyID
2600000		25200000		11		Mus_musculus		33274,33574,33575,33576,33577,35823,35858,35949
32550000		37120000		17		Mus_musculus		33370,33371,33660,33661,33662,33663,35802,35806,35923
9700000		39700000		15		Mus_musculus		33345,33346,33347,33348,33634,33635,33636,33637,35900,35985
89700000		119800000		3		Mus_musculus		33399,33741,33742,33743,33744,33745,35676,35680
40300000		99600000		7		Mus_musculus		33469,33470,33471,33472,33473,33474,33475,33476,33477,33478,33817,33818,33819,33820,33821,33822,35707,35709,35715,35752,35753,35754,35759,35760,35761,35762,35767,35808,35811
37100000		45400000		17		Mus_musculus		33371,33372,33663,33664,35923,35926
38500000		55100000		11		Mus_musculus		33275,33578,33579,33580,33581,35910,35914,35915,35919
76800000		92400000		11		Mus_musculus		33276,33277,33585,35778,35779,35783
176000000		180000000		2		Mus_musculus		33392,33393,33726,35848
45100000		69000000		9		Mus_musculus		33490,33855,33856,33857,33858,33859,35717,35756,35757
126200000		155400000		3		Mus_musculus		33399,33746,33747,33748,33749,35674,35891,35953
27800000		75900000		16		Mus_musculus		33353,33354,33355,33645,33646,33647,33648,35851,35874,35875,35884,35885
17000000		30800000		7		Mus_musculus		33455,33456,33457,33458,33459,33460,33461,33462,33810,33811,33812,33813,33814,33815,33816,35809,35810
53300000		69800000		13		Mus_musculus		33308,33309,33310,33311,33312,33313,33607,33608,33609,33610,33611,35899,35911,35918,35984,35989,35991,35993,35998,35999,36000
18100000		71800000		8		Mus_musculus		33481,33482,33483,33831,33832,33833,33834,33835,33836,33837,33838,33839,33840,35742,35898,35967,35968,35970,35971,35973,35974,35975
11000000		28300000		10		Mus_musculus		33256,33257,33555,33556,33557,33558,35935
10000000		70000000		12		Mus_musculus		33282,33283,33284,33285,33286,33287,33288,33289,33290,33291,33292,33293,33294,33295,33296,33297,33298,33299,33300,33301,33588,33589,33590,33591,33592,33593,33594,33595,35748,35814,35815,35816,35817,35942,35959,35960
25900000		94800000		10		Mus_musculus		33257,33258,33259,33260,33261,33262,33263,33264,33265,33266,33267,33268,33269,33270,33558,33559,33560,33561,33562,33563,33564,33565,33566,33567,33568,33569,33570,33571,35700,35727,35728,35799,35805,35830,35853,35856,35860,35933,35934,35935
0		0		18		Mus_musculus		
26100000		57700000		19		Mus_musculus		33384,33385,33699,33700,33701,33702,35699,35703,35986
8300000		51200000		3		Mus_musculus		33394,33395,33396,33397,33398,33399,33727,33728,33729,33730,33731,33732,33733,33734,33735,35849,35880,35882,35883,35895,35980,35982,35990,35992,35994
41200000		125800000		2		Mus_musculus		33389,33390,33391,33392,33715,33716,33717,33718,33719,33720,33721,35708,35710,35711,35712,35755,35842
81300000		119200000		11		Mus_musculus		33277,33278,33585,33586,33587,35779,35780,35781,35782,35783,35784,35785,35786
53700000		80600000		11		Mus_musculus		33275,33276,33277,33580,33581,33582,33583,33584,33585,35684,35775,35776,35777,35778,35779,35910,35914
180500000		186950000		1		Rattus_norvegicus		33478,36348,36349,36350,36352
219000000		265100000		1		Rattus_norvegicus		33384,33385,36262,36269,36270,36271,36413,36579,36587,36589
33400000		48700000		4		Rattus_norvegicus		33435,36527,36549
61300000		99800000		5		Rattus_norvegicus		33405,33406,33407,33408,33409,33410,36580,36581,36590,36591,36595,36596
6000000		48700000		4		Rattus_norvegicus		33280,33304,33400,33422,33424,33430,33435,36473,36527,36531,36542,36543,36546,36549,36554
22300000		71200000		10		Rattus_norvegicus		33275,33276,33277,36248,36358,36359,36360,36361,36362,36363,36364,36497,36501,36502,36504
91900000		100110000		10		Rattus_norvegicus		33277,33278,36366,36367,36368,36371,36372,36373,36550
20000000		24800000		12		Rattus_norvegicus		33434,36539,36540,36545
25700000		38900000		12		Rattus_norvegicus		33434,36306,36307,36537,36538,36539
33740000		60300000		18		Rattus_norvegicus		33380,36376,36381,36496,36499,36500
75700000		79500000		18		Rattus_norvegicus		33383,36380,36383,36384
10736000		33300000		19		Rattus_norvegicus		33334,33425,33433,33484,33485,36353,36354,36389,36433,36437,36483
4000000		9000000		20		Rattus_norvegicus		33369,33371,36507
46053792		46057389		19		Homo_sapiens		34023,34762,35188,35810,36102,36392,36665,36845,37050,37292,37859,39077
61890000		61930000		17		Homo_sapiens		34012,34342,34745,35160,35784,36091,36371,36658,36833,37043,37277,37853,38273,39060
45652489		45658542		3		Homo_sapiens		34058,34817,35278,35869,36135,36447,36684,36873,37073,37330,37870,38311,39114
60740708		60785990		11		Homo_sapiens		33942,34655,35030,35713,36044,36283,36637,36776,37009,37199,37841,38210,38990
