Locus	group	chr	start	stop	Trait	Status	Syngroup	chr	start	end	Trait	homotype
c1.loc100	0	1	-0.59999999	208	ENSRNOG00000003476	synhomsame	152	7	77	83	ENSMUSG00000020838	ortholog_one2one
c1.loc101	0	1	-0.59999999	208	ENSRNOG00000003476	synhomsame	152	7	77	83	ENSMUSG00000020838	ortholog_one2one
c1.loc101	0	1	-0.59999999	208	ENSRNOG00000008428	synhomsame	152	7	77	83	ENSMUSG00000032259	ortholog_one2one
c1.loc101	0	1	-0.59999999	208	ENSRNOG00000018521	synhomsame	12	10	-1	3	ENSMUSG00000026237	ortholog_one2one
c1.loc103	0	1	-0.59999999	208	ENSRNOG00000021011	synhomsame	164	7	187	192	ENSMUSG00000055978	ortholog_one2one
c1.loc104	0	1	-0.59999999	208	ENSRNOG00000003476	synhomsame	152	7	77	83	ENSMUSG00000020838	ortholog_one2one
c1.loc104	0	1	-0.59999999	208	ENSRNOG00000021011	synhomsame	164	7	187	192	ENSMUSG00000055978	ortholog_one2one
c1.loc105	0	1	-0.59999999	208	ENSRNOG00000003476	synhomsame	152	7	77	83	ENSMUSG00000020838	ortholog_one2one
c1.loc106	0	1	-0.59999999	208	ENSRNOG00000008428	synhomsame	152	7	77	83	ENSMUSG00000032259	ortholog_one2one
c1.loc107	0	1	-0.59999999	208	ENSRNOG00000008428	synhomsame	152	7	77	83	ENSMUSG00000032259	ortholog_one2one
c1.loc107	0	1	-0.59999999	208	ENSRNOG00000018521	synhomsame	12	10	-1	3	ENSMUSG00000026237	ortholog_one2one
c1.loc109	0	1	-0.59999999	208	ENSRNOG00000008428	synhomsame	152	7	77	83	ENSMUSG00000032259	ortholog_one2one
c1.loc115	0	1	-0.59999999	208	ENSRNOG00000019500	synhomsame	148	7	28.40221596	30.40221596	ENSMUSG00000032315	ortholog_one2one
c1.loc118	0	1	-0.59999999	208	ENSRNOG00000014639	synhomsame	148	7	28.40221596	30.40221596	ENSMUSG00000046159	ortholog_one2one
c1.loc124	0	1	-0.59999999	208	ENSRNOG00000021011	synhomsame	164	7	187	192	ENSMUSG00000055978	ortholog_one2one
c1.loc125	0	1	-0.59999999	208	ENSRNOG00000016038	synhomsame	162	7	173	177	ENSMUSG00000054612	ortholog_one2one
c1.loc125	0	1	-0.59999999	208	ENSRNOG00000021011	synhomsame	164	7	187	192	ENSMUSG00000055978	ortholog_one2one
c1.loc126	0	1	-0.59999999	208	ENSRNOG00000016038	synhomsame	162	7	173	177	ENSMUSG00000054612	ortholog_one2one
c1.loc126	0	1	-0.59999999	208	ENSRNOG00000021011	synhomsame	164	7	187	192	ENSMUSG00000055978	ortholog_one2one
c1.loc127	0	1	-0.59999999	208	ENSRNOG00000016038	synhomsame	162	7	173	177	ENSMUSG00000054612	ortholog_one2one
c1.loc127	0	1	-0.59999999	208	ENSRNOG00000021011	synhomsame	164	7	187	192	ENSMUSG00000055978	ortholog_one2one
c1.loc75	0	1	-0.59999999	208	ENSRNOG00000003476	synhomsame	152	7	77	83	ENSMUSG00000020838	ortholog_one2one
c1.loc78	0	1	-0.59999999	208	ENSRNOG00000003476	synhomsame	152	7	77	83	ENSMUSG00000020838	ortholog_one2one
c1.loc79	0	1	-0.59999999	208	ENSRNOG00000003476	synhomsame	152	7	77	83	ENSMUSG00000020838	ortholog_one2one
