Locus	start	stop	Mus_musculus	Rattus_norvegicus	Homo_sapiens
c1.loc100	1761951	262598468	x	x	x
c1.loc101	1761951	262598468	x	x	x
c1.loc101	1761951	262598468	x	x	x
c1.loc101	1761951	262598468	x	x	x
c1.loc103	1761951	262598468	x	x	x
c1.loc104	1761951	262598468	x	x	x
c1.loc104	1761951	262598468	x	x	x
c1.loc105	1761951	262598468	x	x	x
c1.loc106	1761951	262598468	x	x	x
c1.loc107	1761951	262598468	x	x	x
c1.loc107	1761951	262598468	x	x	x
c1.loc109	1761951	262598468	x	x	x
c1.loc115	1761951	262598468	x	x	x
c1.loc118	1761951	262598468	x	x	x
c1.loc124	1761951	262598468	x	x	x
c1.loc125	1761951	262598468	x	x	x
c1.loc125	1761951	262598468	x	x	x
c1.loc126	1761951	262598468	x	x	x
c1.loc126	1761951	262598468	x	x	x
c1.loc127	1761951	262598468	x	x	x
c1.loc127	1761951	262598468	x	x	x
c1.loc75	1761951	262598468	x	x	x
c1.loc78	1761951	262598468	x	x	x
c1.loc79	1761951	262598468	x	x	x
c1.loc84	1761951	262598468	x	x	x
c1.loc84	1761951	262598468	x	x	x
c1.loc85	1761951	262598468	x	x	x
c1.loc85	1761951	262598468	x	x	x
c1.loc86	1761951	262598468	x	x	x
c1.loc86	1761951	262598468	x	x	x
c1.loc86	1761951	262598468	x	x	x
c1.loc87	1761951	262598468	x	x	x
c1.loc87	1761951	262598468	x	x	x
c1.loc88	1761951	262598468	x	x	x
c1.loc88	1761951	262598468	x	x	x
c1.loc88	1761951	262598468	x	x	x
c1.loc88	1761951	262598468	x	x	x
c1.loc89	1761951	262598468	x	x	x
c1.loc90	1761951	262598468	x	x	x
c1.loc91	1761951	262598468	x	x	x
c1.loc91	1761951	262598468	x	x	x
c1.loc92	1761951	262598468	x	x	x
c1.loc92	1761951	262598468	x	x	x
c1.loc92	1761951	262598468	x	x	x
c1.loc92	1761951	262598468	x	x	x
c1.loc93	1761951	262598468	x	x	x
c1.loc93	1761951	262598468	x	x	x
c1.loc94	1761951	262598468	x	x	x
c1.loc94	1761951	262598468	x	x	x
c1.loc94	1761951	262598468	x	x	x
c1.loc95	1761951	262598468	x	x	x
c1.loc95	1761951	262598468	x	x	x
c1.loc95	1761951	262598468	x	x	x
c1.loc95	1761951	262598468	x	x	x
c1.loc95	1761951	262598468	x	x	x
c1.loc96	1761951	262598468	x	x	x
c1.loc96	1761951	262598468	x	x	x
c1.loc96	1761951	262598468	x	x	x
c1.loc96	1761951	262598468	x	x	x
c1.loc97	1761951	262598468	x	x	x
c1.loc98	1761951	262598468	x	x	x
c1.loc98	1761951	262598468	x	x	x
c1.loc99	1761951	262598468	x	x	x
c10.loc13	12119582	18371525	x	x	x
c10.loc56	33911144	72307435	x	x	x
c10.loc57	33911144	72307435	x	x	x
c10.loc58	33911144	72307435	x	x	x
c10.loc69	73080127	77136742	x	x	x
c13.loc16	51007570	76228631		x	x
c13.loc19	51007570	76228631		x	x
c13.loc20	51007570	76228631		x	x
c14.loc18	21457515	42160324		x	x
c14.loc24	21457515	42160324		x	x
c14.loc80	43975383	107616613	x	x	x
c14.loc88	43975383	107616613	x	x	x
c16.loc70	-1	89984890	x	x	x
c16.loc71	-1	89984890	x	x	x
c16.loc71	-1	89984890	x	x	x
c16.loc75	-1	89984890	x	x	x
c17.loc50	20599836	97700455	x	x	x
c5.loc132	148430074	165858253		x	x
c5.loc136	148430074	165858253		x	x
c6.loc106	97805049	131588252	x		x
c6.loc107	97805049	131588252	x		x
c6.loc108	97805049	131588252	x		x
c6.loc109	97805049	131588252	x		x
c6.loc14	-8723093	26188444			x
c6.loc14	-8723093	26188444			x
c6.loc24	-8723093	26188444			x
c6.loc27	-8723093	26188444			x
c6.loc31	26784758	92683057	x		x
c6.loc32	26784758	92683057	x		x
c6.loc53	26784758	92683057	x		x
c6.loc54	26784758	92683057	x		x
c6.loc57	26784758	92683057	x		x
c6.loc57	26784758	92683057	x		x
c6.loc58	26784758	92683057	x		x
c6.loc58	26784758	92683057	x		x
c6.loc59	26784758	92683057	x		x
c6.loc60	26784758	92683057	x		x
c6.loc71	26784758	92683057	x		x
c6.loc84	26784758	92683057	x		x
c6.loc85	26784758	92683057	x		x
c6.loc87	26784758	92683057	x		x
c6.loc88	26784758	92683057	x		x
c6.loc89	26784758	92683057	x		x
c6.loc91	26784758	92683057	x		x
c6.loc93	26784758	92683057	x		x
c6.loc94	26784758	92683057	x		x
c6.loc98	97805049	131588252	x		x
c8.loc123	98627259	124160010		x	x
D10Rat29	33911144	72307435	x	x	x
D14Rat110	43975383	107616613	x	x	x
D14Rat110	43975383	107616613	x	x	x
D14Rat110	43975383	107616613	x	x	x
D16Rat89	-1	89984890	x	x	x
D16Rat89	-1	89984890	x	x	x
D1Rat36	1761951	262598468	x	x	x
D1Rat56	1761951	262598468	x	x	x
D1Rat56	1761951	262598468	x	x	x
D2Rat177	79159242	101259902	x	x	
